MSSubClass,LotArea,YearBuilt,TotalBsmtSF,KitchenAbvGr,TotRmsAbvGrd,GarageArea,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_Sawyer,Neighborhood_StoneBr,Neighborhood_Veenker
60,8450,2003,856,1,8,548,208500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,9600,1976,1262,1,6,460,181500,0,0,1,0,0,0,0,0,0,0,0,0,1
60,11250,2001,920,1,6,608,223500,0,0,1,0,0,0,0,0,0,0,0,0,0
70,9550,1915,756,1,7,642,140000,0,0,1,0,0,1,0,0,0,0,0,0,0
60,14260,2000,1145,1,9,836,250000,0,0,1,0,0,0,0,0,1,0,0,0,0
50,14115,1993,796,1,5,480,143000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10084,2004,1686,1,7,636,307000,0,0,1,0,0,0,0,0,0,0,0,0,0
60,10382,1973,1107,1,7,484,200000,0,0,1,0,0,0,0,1,0,0,0,0,0
50,6120,1931,952,2,8,468,129900,0,0,0,1,0,0,0,0,0,0,0,0,0
190,7420,1939,991,2,5,205,118000,0,0,1,0,0,0,0,0,0,0,0,0,0
20,11200,1965,1040,1,5,384,129500,0,0,1,0,0,0,0,0,0,0,1,0,0
60,11924,2005,1175,1,11,736,345000,0,0,1,0,0,0,0,0,0,1,0,0,0
20,12968,1962,912,1,4,352,144000,0,0,1,0,0,0,0,0,0,0,1,0,0
20,10652,2006,1494,1,7,840,279500,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10920,1960,1253,1,5,352,157000,0,0,1,0,0,0,0,0,0,0,0,0,0
45,6120,1929,832,1,5,576,132000,0,0,0,1,0,0,0,0,0,0,0,0,0
20,11241,1970,1004,1,5,480,149000,0,0,1,0,1,0,0,0,0,0,0,0,0
