MSSubClass;MSZoning;LotArea;LotConfig;Neighborhood;YearBuilt;TotalBsmtSF;GrLivArea;FullBath;KitchenAbvGr;TotRmsAbvGrd;GarageArea;YrSold;SalePrice
60;RL;8450;Inside;CollgCr;2003;856;1710;2;1;8;548;2008;208500
20;RL;9600;FR2;Veenker;1976;1262;1262;2;1;6;460;2007;181500
60;RL;11250;Inside;CollgCr;2001;920;1786;2;1;6;608;2008;223500
70;RL;9550;Corner;Crawfor;1915;756;1717;1;1;7;642;2006;140000
60;RL;14260;FR2;NoRidge;2000;1145;2198;2;1;9;836;2008;250000
50;RL;14115;Inside;Mitchel;1993;796;1362;1;1;5;480;2009;143000
20;RL;10084;Inside;Somerst;2004;1686;1694;2;1;7;636;2007;307000
60;RL;10382;Corner;NWAmes;1973;1107;2090;2;1;7;484;2009;200000
50;RM;6120;Inside;OldTown;1931;952;1774;2;2;8;468;2008;129900
190;RL;7420;Corner;BrkSide;1939;991;1077;1;2;5;205;2008;118000
20;RL;11200;Inside;Sawyer;1965;1040;1040;1;1;5;384;2008;129500
60;RL;11924;Inside;NridgHt;2005;1175;2324;3;1;11;736;2006;345000
20;RL;12968;Inside;Sawyer;1962;912;912;1;1;4;352;2008;144000
20;RL;10652;Inside;CollgCr;2006;1494;1494;2;1;7;840;2007;279500
20;RL;10920;Corner;NAmes;1960;1253;1253;1;1;5;352;2008;157000
45;RM;6120;Corner;BrkSide;1929;832;854;1;1;5;576;2007;132000
20;RL;11241;CulDSac;NAmes;1970;1004;1004;1;1;5;480;2010;149000
90;RL;10791;Inside;Sawyer;1967;0;1296;2;2;6;516;2006;90000
20;RL;13695;Inside;SawyerW;2004;1114;1114;1;1;6;576;2008;159000
20;RL;7560;Inside;NAmes;1958;1029;1339;1;1;6;294;2009;139000
60;RL;14215;Corner;NridgHt;2005;1158;2376;3;1;9;853;2006;325300
45;RM;7449;Inside;IDOTRR;1930;637;1108;1;1;6;280;2007;139400
20;RL;9742;Inside;CollgCr;2002;1777;1795;2;1;7;534;2008;230000
120;RM;4224;Inside;MeadowV;1976;1040;1060;1;1;6;572;2007;129900
20;RL;8246;Inside;Sawyer;1968;1060;1060;1;1;6;270;2010;154000
20;RL;14230;Corner;NridgHt;2007;1566;1600;2;1;7;890;2009;256300
20;RL;7200;Corner;NAmes;1951;900;900;1;1;5;576;2010;134800
20;RL;11478;Inside;NridgHt;2007;1704;1704;2;1;7;772;2010;306000
20;RL;16321;CulDSac;NAmes;1957;1484;1600;1;1;6;319;2006;207500
30;RM;6324;Inside;BrkSide;1927;520;520;1;1;4;240;2008;68500
70;C (all);8500;Inside;IDOTRR;1920;649;1317;1;1;6;250;2008;40000
20;RL;8544;CulDSac;Sawyer;1966;1228;1228;1;1;6;271;2008;149350
20;RL;11049;Corner;CollgCr;2007;1234;1234;2;1;7;484;2008;179900
20;RL;10552;Inside;NAmes;1959;1398;1700;1;1;6;447;2010;165500
120;RL;7313;Inside;NridgHt;2005;1561;1561;2;1;6;556;2007;277500
60;RL;13418;Inside;NridgHt;2004;1117;2452;3;1;9;691;2006;309000
20;RL;10859;Corner;CollgCr;1994;1097;1097;1;1;6;672;2009;145000
20;RL;8532;Inside;NAmes;1954;1297;1297;1;1;5;498;2009;153000
20;RL;7922;Inside;NAmes;1953;1057;1057;1;1;5;246;2010;109000
90;RL;6040;Inside;Edwards;1955;0;1152;2;2;6;0;2008;82000
20;RL;8658;Inside;NAmes;1965;1088;1324;2;1;6;440;2006;160000
20;RL;16905;Inside;Timber;1959;1350;1328;1;1;5;308;2007;170000
85;RL;9180;CulDSac;SawyerW;1983;840;884;1;1;5;504;2007;144000
20;RL;9200;CulDSac;CollgCr;1975;938;938;1;1;5;308;2008;130250
20;RL;7945;Inside;NAmes;1959;1150;1150;1;1;6;300;2006;141000
120;RL;7658;Inside;NridgHt;2005;1752;1752;2;1;6;576;2010;319900
50;RL;12822;CulDSac;Mitchel;2003;1434;2149;1;1;6;670;2009;239686
20;FV;11096;Inside;Somerst;2006;1656;1656;2;1;7;826;2007;249700
190;RM;4456;Inside;OldTown;1920;736;1452;2;3;8;0;2009;113000
20;RL;7742;Inside;Sawyer;1966;955;955;1;1;6;386;2007;127000
60;RL;13869;Corner;Gilbert;1997;794;1470;2;1;6;388;2007;177000
50;RM;6240;Inside;BrkSide;1934;816;1176;1;1;6;528;2006;114500
90;RM;8472;Corner;IDOTRR;1963;816;816;1;1;5;516;2010;110000
20;RL;50271;Inside;Veenker;1981;1842;1842;0;1;5;894;2006;385000
80;RL;7134;Inside;NAmes;1955;384;1360;1;1;6;572;2007;130000
20;RL;10175;Inside;NAmes;1964;1425;1425;2;1;7;576;2008;180500
160;FV;2645;Inside;Somerst;1999;970;1739;2;1;7;480;2009;172500
60;RL;11645;Corner;CollgCr;2004;860;1720;2;1;7;565;2006;196500
60;RL;13682;CulDSac;StoneBr;2006;1410;2945;3;1;10;641;2006;438780
20;RL;7200;Inside;CollgCr;1972;780;780;1;1;4;352;2008;124900
20;RL;13072;Inside;SawyerW;2004;1158;1158;1;1;5;576;2006;158000
75;RM;7200;Inside;IDOTRR;1920;530;1111;1;1;6;288;2007;101000
120;RL;6442;Inside;NridgHt;2006;1370;1370;2;1;6;484;2007;202500
70;RM;10300;Inside;OldTown;1921;576;1710;2;1;9;480;2010;140000
60;RL;9375;Inside;CollgCr;1997;1057;2034;2;1;8;645;2009;219500
60;RL;9591;Inside;NridgHt;2004;1143;2473;2;1;9;852;2007;317000
20;RL;19900;Inside;NAmes;1970;1947;2207;2;1;7;576;2010;180000
20;RL;10665;Inside;CollgCr;2003;1453;1479;2;1;7;558;2007;226000
30;RM;4608;Corner;OldTown;1945;747;747;1;1;4;220;2010;80000
50;RL;15593;Corner;ClearCr;1953;1304;2287;2;1;7;667;2006;225000
20;RL;13651;Inside;NAmes;1973;2223;2223;2;1;8;516;2007;244000
20;RL;7599;Corner;Mitchel;1982;845;845;1;1;4;360;2007;129500
60;RL;10141;Corner;Gilbert;1998;832;1718;2;1;7;427;2009;185000
20;RL;10200;Inside;NAmes;1954;1086;1086;1;1;6;490;2010;144900
50;RM;5790;Corner;OldTown;1915;840;1605;2;2;8;379;2010;107400
180;RM;1596;Inside;MeadowV;1973;462;988;1;1;5;297;2009;91000
20;RL;8475;Inside;NAmes;1956;952;952;1;1;4;283;2008;135750
50;RM;8635;Inside;BrkSide;1948;672;1285;1;1;6;240;2008;127000
90;RL;10778;Inside;Sawyer;1968;1768;1768;2;2;8;0;2010;136500
50;RM;10440;Corner;OldTown;1910;440;1230;1;1;5;440;2009;110000
60;RL;13000;Corner;NAmes;1968;896;2142;2;1;8;509;2009;193500
120;RM;4500;FR2;Mitchel;1998;1237;1337;2;1;5;405;2006;153500
20;RL;10206;Inside;Somerst;2007;1563;1563;2;1;6;758;2008;245000
20;RL;8892;Inside;NAmes;1960;1065;1065;1;1;6;461;2007;126500
80;RL;8530;Inside;Gilbert;1995;384;1474;2;1;7;400;2009;168500
60;RL;16059;Corner;NoRidge;1991;1288;2417;2;1;9;462;2006;260000
60;RL;11911;Inside;Gilbert;2005;684;1560;2;1;6;400;2009;174000
160;FV;3951;Corner;Somerst;2009;612;1224;2;1;4;528;2009;164500
50;C (all);8470;Corner;IDOTRR;1915;1013;1526;1;1;6;0;2009;85000
20;RL;8070;Inside;CollgCr;1994;990;990;1;1;5;0;2007;123600
20;RL;7200;Inside;NAmes;1950;0;1040;1;1;4;420;2006;109900
20;RL;8500;Inside;NAmes;1961;1235;1235;1;1;6;480;2006;98600
30;RL;13360;Inside;Crawfor;1921;876;964;1;1;5;432;2009;163500
190;C (all);7200;Corner;OldTown;1910;1214;2291;2;2;9;506;2007;133900
60;RL;9337;Inside;CollgCr;1997;824;1786;2;1;7;684;2007;204750
60;RL;9765;Corner;Gilbert;1993;680;1470;2;1;6;420;2009;185000
20;RL;10264;Inside;CollgCr;1999;1588;1588;2;1;6;472;2006;214000
20;RL;10921;Inside;Edwards;1965;960;960;1;1;6;432;2007;94750
30;RL;10625;Corner;Edwards;1920;458;835;1;1;5;366;2010;83000
20;RL;9320;Inside;NAmes;1959;950;1225;1;1;6;0;2010;128950
20;RL;10603;Inside;NWAmes;1977;1610;1610;2;1;6;480;2010;205000
60;RL;9206;Inside;SawyerW;1985;741;1732;2;1;7;476;2010;178000
90;RL;7018;Inside;SawyerW;1979;0;1535;2;2;8;410;2009;118964
20;RL;10402;Corner;CollgCr;2009;1226;1226;2;1;6;740;2010;198900
50;RM;7758;Corner;IDOTRR;1931;1040;1818;1;1;7;240;2007;169500
60;FV;9375;Inside;Somerst;2003;1053;1992;2;1;9;648;2008;250000
30;RM;10800;Inside;OldTown;1885;641;1047;1;1;6;273;2007;100000
20;RM;6000;Inside;OldTown;1948;789;789;1;1;5;250;2008;115000
50;RM;8500;Corner;IDOTRR;1919;793;1517;2;1;7;0;2007;115000
20;RL;11751;Inside;NWAmes;1977;1844;1844;2;1;7;546;2010;190000
50;RL;9525;Inside;Edwards;1954;994;1855;2;1;7;325;2006;136900
80;RL;7750;Inside;Gilbert;2000;384;1430;2;1;7;400;2010;180000
60;RL;9965;Inside;CollgCr;2007;1264;2696;2;1;10;792;2007;383970
20;RL;21000;Corner;Crawfor;1953;1809;2259;2;1;7;450;2007;217000
70;RL;7259;Inside;Crawfor;1945;1028;2320;2;1;9;180;2007;259500
160;FV;3230;Corner;Somerst;1999;729;1458;2;1;5;440;2007;176000
20;RL;11616;Inside;Sawyer;1962;1092;1092;1;1;6;288;2009;139000
20;RL;8536;Corner;Edwards;2006;1125;1125;1;1;5;430;2007;155000
60;RL;12376;Corner;SawyerW;1990;1673;3222;3;1;11;594;2010;320000
60;RL;8461;Inside;CollgCr;2005;728;1456;2;1;8;390;2006;163990
80;RL;21453;CulDSac;ClearCr;1969;938;988;1;1;4;540;2006;180000
50;RM;6060;Inside;IDOTRR;1939;732;1123;1;1;4;264;2007;100000
20;RL;9464;Corner;NAmes;1958;1080;1080;1;1;5;288;2008;136000
120;RL;7892;Inside;SawyerW;1993;1199;1199;2;1;5;530;2008;153900
20;RL;17043;CulDSac;NWAmes;1979;1362;1586;2;1;7;435;2009;181000
190;RM;6780;Inside;IDOTRR;1935;520;754;1;1;5;0;2006;84500
120;RL;4928;Inside;NPkVill;1976;1078;958;2;1;5;440;2007;128000
45;RM;4388;Inside;OldTown;1930;672;840;1;1;5;0;2007;87000
60;RL;7590;Inside;NAmes;1966;660;1348;1;1;6;453;2006;155000
20;RL;8973;Inside;NAmes;1958;1008;1053;1;1;6;750;2006;150000
60;RL;14200;Corner;NAmes;1966;924;2157;2;1;8;487;2006;226000
60;RL;12224;Corner;Gilbert;2000;992;2054;2;1;7;390;2009;244000
20;RL;7388;Corner;NAmes;1959;1063;1327;1;1;7;624;2007;150750
20;RL;6853;Inside;Timber;2001;1267;1296;2;1;6;471;2009;220000
